Arabic,English
إنتبهوا,Attention
تقودنا,Lead us
تصبحون,Good night
للأهتمام,For interest
الإذاعة,Radio
افترضت,I assumed
تصرفاتك,Your actions
مخدّرات,drugs
لحضورك,For your attendance
أخو,brother
وتأخذ,And take
عقولهم,Their minds
عرفتك,I knew you
نرد,dice
الروتين,routine
ببرنامج,With the program
تجرؤين,You dare
سحرك,Your magic
لحياتك,For your life
الرجلان,The two men
تتصرّف,Act
جباناً,coward
للشعب,For the people
المحلات,shops
الحصار,The siege
باو,Bao
الملكه,the queen
ولمْ,And did not
اليكِ,Here you go
قرع,pumpkin
لإخباري,To inform me
عمركِ,Your age
المناسبات,Occasions
ينتابني,I feel
المجموعات,Groups
ياللعجب,Wow!
ريدينجتون,Reddington
قدّم,foot
ستنام,You will sleep
الدبابات,tanks
يقلقك,It worries you
تجذب,Attract
بريطانية,British
الجراء,puppies
الفك,jaw
جسدية,physical
قوارب,boats
الفوائد,Benefits
أُمي,My mom
أضحوكة,joke
يضعوا,They put
خذهم,Take them
أيضآ,also
المارينز,Marines
رحيم,merciful
عرضها,Show it
منتديات,Forums
بورت,Port
الشوط,The half
ستتمكن,You will be able to
واحضر,And bring
قس,priest
وقاموا,And they did
يبدوان,They look like
أرتب,I arrange
نادل,waiter
شيئـاً,Something
صوتكِ,Your voice
ماخطبك,What's wrong with you?
هوبز,Hobbes
مشاجرة,quarrel
تحدثتي,You spoke
جسمها,Her body
وصولي,My arrival
تعري,strip
النوعية,Quality
تلحق,catch up
تخبريها,You tell her
المفاعل,reactor
قاتله,Kill him
يتحرّك,Moving
إخبارهم,Tell them
القبائل,Tribes
الحى,The neighborhood
تأذى,hurt
أسبوعان,Two weeks
متراً,meters
رغبته,His desire
مقولة,quote
ربيع,spring
يصيبك,It hits you
المراة,woman
محظورة,Prohibited
ماريانا,Mariana
عودتها,Her return
ياخذ,Take
ستين,sixty
الشاهدة,The witness
انفصل,Separated
المخارج,Exits
دوراً,role
المفاصل,joints
للزيارة,For visit
سيعتني,will take care
إعجابكم,Your like
اندرسون,Anderson
نضعه,We put it
.فقط,.only
ونفس,And the same
ستخبر,You will tell
أوان,time
أسبوعاً,a week
اذنك,Your permission
مفاتيحك,Your keys
بالتصويت,By voting
تــرجــمــة,Translation
لقوا,They found
بمعدل,At an average
راودني,It haunted me
اغلقي,Close
غايب,Absent
لأنفسهم,For themselves
أثره,Its effect
الراكون,raccoon
احتساء,sipping
ضحيّة,victim
شاعر,poet
مؤذي,harmful
مالوري,Mallory
إعطائها,give it
ضمنهم,Including them
اميال,miles
حظى,My luck
يتسكع,Hanging out
بخمس,Five
تتسلل,sneaking in
يقضون,They spend
بالصبر,With patience
لإني,Because I
هزمت,I was defeated
تغادرين,You leave
طيبون,Good
بتوصيل,By delivery
ورجال,And men
هدنة,truce
نبذل,We make an effort
شاهدتها,I saw it
الكومبيوتر,computer
أضاجع,I sleep
مُستحيل,impossible
هاماً,Important
مذبحة,massacre
الاحتمال,possibility
السلاسل,chains
أتمكّن,I can
تفكرون,You think
أوشكنا,We are about to
مصرح,Authorized
الصلاحية,Validity
دراجتك,Your bike
هبط,landed
تحققي,Check
يخضع,Subject
تأهب,preparedness
لتلقي,To receive
ممنوعة,Forbidden
بوينت,Point
بنس,penny
اترين,I see
الطاولات,tables
أشلاء,remains
الرهيب,The terrible
الصناعة,Industry
شقي,brat
تتبعه,Follow him
المهملات,Trash
يُصدق,Believe
ارتديت,I wore
الاذن,ear
واطسون,Watson
أربح,Win
عالى,High
لَسنا,We are not
النشر,Publishing
لمنزله,To his home
السويد,Sweden
حدٍ,end
إنهضي,Get up
لشخصين,For two people
لقائنا,Our meeting
والفتاة,And the girl
تاكو,Taco
معادلة,equation
تَركَ,to leave
ادريان,Adrian
أعطيتهم,I gave them
إدمان,addiction
المسنين,the elderly
دخوله,His entry
استأجرت,I rented
عمرى,my age
امارس,I practice
استماع,to listen
استخدمي,Use
تشبث,hang on
حماماً,bathroom
لننهي,Let's finish
مسموحاً,Allowed
أشار,He pointed out
ساخبرك,I will tell you
لايريد,He doesn't want to
منحتني,You gave me
ملصق,attached
كثيف,heavy
امها,Her mother
قادرًا,Able
البارود,gunpowder
البلوغ,Puberty
فضولية,curious
إنت,You
أيّا,Anyway
طليقاً,Free
مشاة,pedestrian
ليفي,Levi
مسيحي,Christian
تريستان,Tristan
والديكِ,Your parents
بإستطاعتك,You can
الجامعات,Universities
يحيط,Surrounds
موجهة,Directed
بسكين,With a knife
والبحث,And research
منحه,Grant him
عنصرية,racism
البروتوكول,Protocol
أشاء,I want
ء,and
تصليح,to repair
بالقطار,By train
اليونانية,Greek
وإعادة,And re-
شفاء,healing
تتزوجي,You get married
البطة,duck
ثرية,Rich
التورط,involvement
معروفًا,known
افحص,Check
تواجدي,My presence
اخ,brother
سندفع,We will pay
زى,like
التناسلية,reproductive
إيكو,Echo
الـ11,The 11th
هستنغز,Hastings
نل,We got it
صفة,characteristic
لأشهر,For months
ليعمل,To work
رقماً,number
مظهري,My appearance
كلّهم,All of them
بمقابلة,In an interview
رصد,Monitoring
التاكسي,Taxi
أخفيت,I hid
أتمازحني,Are you kidding me?
المحمولة,portable
تقتلها,kill her
تفويض,to delegate
أعطينا,We gave
جعلكِ,May God make you
أَحْصلُ,I get
مستوي,level
المناوبة,Shift
جلبتُ,I brought
أزيل,Removed
الغاضب,angry
ماكلين,Maclean
علّي,on
بالإسعاف,By ambulance
تساعدنى,help me
أتظنّ,Do you think?
وضعتُ,I put
الشطائر,sandwiches
بحكم,By virtue of
آجلا,Later
ضوئية,Photovoltaic
التخلّص,Getting rid of
بادئ,Starter
إدموند,Edmund
تعيشون,You live
رغبات,desires
إرضاء,satisfaction
لخسارتك,For your loss
ينشر,Publish
توديع,farewell
ترتديها,wear it
صنعنا,We made it
للمراقبة,For monitoring
هدد,threatened
الثوم,Garlic
نرفع,We raise
تدميرها,destroy it
علناً,in public
لويزيانا,Louisiana
مدينون,debtors
ساتصل,I will call
أقلعت,took off
ويفر,Weaver
سنتعامل,We will deal
ماسون,Mason
كأنّه,As if
مهمته,His mission
انتظرنا,We waited
البس,Wear
لأفكر,to think
الرابطة,The Association
روندا,Rhonda
شظايا,shrapnel
التداخل,Interference
كوم,Com
ميري,Mary
تأجير,leasing
الاحتيال,fraud
بعث,Send
خاطفة,Snap
العجائز,old women
لهـا,For her
شكلي,formal
جدّ,grandfather
اسنان,teeth
نظريات,Theories
يكفيني,That's enough for me
متنزه,park
كثرة,plenty
اصابة,infection
راقبوا,Watch
بعشرة,Ten
الإطاحة,overthrow
اليوت,Eliot
الفولاذ,steel
محاطة,surrounded
يدفعني,It drives me
مد,Extend
استبدال,replacing
وحالما,And as soon as
حلا,candy
الدلائل,Evidence
وردية,pink
شراكة,partnership
اردنا,We wanted
للمضي,To go
أستخدمه,I use it
سيقود,will lead
وأخرى,And another
بناءاً,Based on
أحميك,I protect you
يتبق,Remaining
بالاعلى,Above
بحري,nautical
أزواج,couples
افعلوا,Do it
مربوط,tied
التبديل,Switch
تقفي,follow suit
عودى,Come back
للأمن,For security
وانظري,And look
والقيام,And doing
الرابعه,Fourth
خوسيه,Jose
سينتهى,It will end
اضحك,laugh
ثقوب,holes
منحني,curve
بحمل,Carrying
كتيبة,battalion
موكلك,Your client
فيلا,villa
ينقلب,It turns over
البقع,spots
ضخماً,huge
حضوركم,Your presence
برنامجك,Your program
أخدم,I serve
اختى,my sister
غنياً,rich
وخمسة,And five
صائبة,Correct
ماعليك,Never mind
إستطاع,He was able to
الفجوة,The gap
أيجاد,Find
المتواضع,humble
للقلب,For the heart
لأمريكا,To America
بالتبني,adoptive
هوليس,Hollis
الدردشة,Chat
الكؤوس,cups
منحت,Granted
معايير,Standards
العبقرية,Genius
جيداَ,well
تحبهم,You love them
الرقيق,Slave
أقنع,Convince
حينئذ,then
إخوتي,My brothers
الإبتسامة,smile
البريطانيون,British
قتلتني,You killed me
الإقتصاد,Economy
مسلم,Muslim
تل,hill
بالحرج,Embarrassed
كريسي,Chrissy
للحقيقة,For the truth
وتوقف,And stop
تيريسا,Teresa
الراقية,High-end
تصورت,I imagined
سنخسر,We will lose
تتعاملين,You are dealing
خطابات,Speeches
منة,Mona
يحضرون,They attend
فوائد,benefits
نِصْف,half
السماوات,the heavens
فيرمونت,Vermont
أخذتني,You took me
الاختطاف,kidnapping
التأخر,Delay
استخراج,Extract
نتن,stinky
يهمّني,I care
سنتات,cents
نصلي,We pray
هديتك,Your gift
بمكانك,In your place
ندعه,Let's leave it
أضعك,I put you
يسألون,They ask
وعي,consciousness
بالإثارة,With excitement
صدم,Shocked
كحد,As a limit
بقوه,strongly
المدني,Civil
بالخطة,By plan
بإلغاء,Cancel
بثبات,Steadily
سيعجبك,You will like it
مجموعتي,My group
الضواحي,suburbs
أوهـ,Oh
الطهي,cooking
الوهم,illusion
تحتفل,Celebrating
ستستغرق,It will take
محاسب,accountant
يَستمعُ,He listens
مختصر,Summary
وكلانا,Both of us
حالنا,Our condition
وتأكد,And make sure
ابقاء,Keep
مستقطع,Deducted
الباهر,The dazzling
بارتون,Barton
بالتوتر,With tension
التسعينات,the nineties
المصطلح,The term
يملأ,Fills
بالهراء,Nonsense
ستسمح,will allow
المعقول,Reasonable
التسعة,nine
وسأذهب,and i will go
التدقيق,Audit
الاضطرابات,disturbances
اقتربي,Come closer
انتباهك,Your attention
شاحنتك,Your truck
متخلف,backward
سأقف,roofer
السلاحف,turtles
مأمور,officer
قيامك,Your rising
بالطّبع,naturally
حافظوا,Keep it up
تفعلانه,You do it
فيمكنك,You can
الدرجه,degree
قلوبهم,Their hearts
ملياً,Fully
لاصق,adhesive
أشترى,I buy
أقنعت,I convinced
السجق,sausage
يستحقه,He deserves it
دوجيت,Doggett
المحتال,crook
يتبول,urinate
العنصرية,racism
يُظهر,He appears
لنظام,For the system
مواقعكم,Your sites
امسكي,Hold on
شريكاً,partner
يهمنى,I care
لذيذاً,Delicious
مدفوعة,Paid
حاضرة,Present
أختفي,disappear
لكُلّ,per
غابات,forests
قدراتي,My abilities
بالقطع,Of course
التغيرات,Changes
المنشطات,Steroids
لاتفعلي,Don't do that
الصنوبر,pine
لتخفيف,To relieve
مبهر,dazzling
بالخيانة,By betrayal
نفد,run out
تطهير,disinfection
الأبقار,cows
اركبي,Get on
فراشك,Your bed
بلون,In color
فلربما,Maybe
أتصلي,Call me
الرحله,The journey
الانتخابية,electoral
أسيطر,I control
قرأتُ,I read
مادام,As long as
قذيفة,shell
التفاحة,apple
الجمعه,Friday
لاعبين,players
ماليبو,Malibu
معـي,With me
الحادة,acute
رقبتها,Her neck
واثقا,confident
أشهد,I testify
بناتي,girlie
نتدرب,We train
هارفرد,Harvard
للدفع,To pay
للعديد,For many
ماتفعله,What you do
الغازات,gases
لأنّكَ,Because you
يعطيها,Give it to her
ولكم,And to you
تكرر,repeat
نظرةً,look
نخاطر,We take risks
نادية,Nadia
أخذوها,They took her
أمتأكدة,Are you sure?
فيوليت,Violet
الاستثمار,Investment
تسديد,Payment
حربية,War
مبكرًا,early
للنادي,For the club
خشبة,wood
تغييرات,Changes
بمجموعة,In a group
إساءة,abuse
تمرّ,Passing by
تمسكوا,Hold on
الحرّاس,The guards
.مرحباً,.Welcome
أستمعي,Listen
تأريخ,date
نظفت,I cleaned
الفتاتين,The two girls
.أعتقد,.I believe
بسؤال,By question
وتحصل,And you get
قصوى,Maximum
للكذب,To lie
أحتمل,I can bear it
ايفي,Evie
بوجودي,With my presence
إرجاع,return
حقـا,Really
للإجابة,To answer
همفري,Humphrey
بوالدك,With your father
دقائقِ,minutes
اقلق,worry
حقيقته,His truth
معاهدة,treaty
اعطيته,I gave it to him
كفاءة,efficiency
التحضير,Preparation
ارقام,numbers
الشذوذ,perversion
فرانكو,Franco
لذكر,To mention
بتجهيز,Preparing
باسمي,In my name
الصحفية,Journalist
المألوف,familiar
إطلاع,View
منهاتن,Manhattan
وصلتُ,It arrived
هاملتون,Hamilton
الميعاد,The appointment
السارق,thief
ولكنكم,But you
ة,And
مقيدة,Bound
فظ,rude
أَتذكّرُ,I remember
أخفق,failed
ايطاليا,Italy
للطيران,To fly
للانضمام,To join
لركوب,to ride
هدسون,Hudson
مهنية,Professional
يعتمدون,They depend on
يشاء,He wants
يفضلون,They prefer
أرضًا,land
اقترفت,I committed
تبتعدي,You move away
قاتلا,killer
المفضله,Favorite
إعطني,Give me
سريّة,secrecy
تزور,Visit
موافقون,We agree
قضبان,bars
يسمي,It is called
دونج,Dong
حضن,bosom
أعالج,I treat
سيرحل,He will leave
علوم,sciences
شخصى,subjective
وسعنا,We expanded
لفرقة,For the band
لافون,Lavon
توقعنا,We expected
هــل,Is it?
تعثرت,I stumbled
نحوها,Towards it
عشيق,stud
تغار,jealous
جعلتيني,You made me
مرضي,Patients
تشاجرت,I had a fight
جوجل,Google
وضعني,Put me
لآخذ,to take
تفعـل,Do
انفسكم,yourselves
سأتكفل,I will take care of it
أكملي,Complete
المادية,materialism
هيلدا,Hilda
إخراجها,Take it out
تصفيق,applause
يتطلّب,Requires
كوانتيكو,Quantico
قيادتك,Your leadership
أناديك,I call you
بسيارتي,In my car
أفهمها,I understand it
وأحد,one
محاصرون,Besieged
وطننا,Our homeland
دولية,International
كراهية,hatred
بعقد,By contract
بخطأ,By mistake
بالبلدة,In the town
مُجدّداً,Again
الإجازة,vacation
للألم,For pain
الجرذ,rat
يخبرنى,He tells me
سأراهن,I'll bet
لاأعتقد,I don't think so
بحياتها,In her life
أجني,I reap
طوابق,floors
سواك,Miswak
رديئة,poor
خيارا,Option
ملتزم,committed
عرضوا,They offered
جيرى,Jerry
ستعرفين,You will know
مستقبلاً,Future
سُرقت,It was stolen
بموقع,On site
تنم,Grow
مزحه,joke
الفرع,Branch
طريقا,way
خلط,mix
بهذهِ,With this
ستكتشف,You will discover
اربعه,four
ومحاولة,And try
الحكاية,The story
أعصاب,nerves
ربة,Mistress
كُتب,books
الخامسه,Fifth
التأقلم,Adaptation
ورجاله,and his men
وماهو,What is it?
الجيّدة,Good
مظلة,umbrella
يمكنُ,maybe
نصيب,share
مكلف,Expensive
تعـرف,Get to know
ذوات,Self
أأنتم,Are you?
ونحصل,And we get
تدقيق,Audit
مارغو,Margot
مدفون,buried
أعط,Give
بالنسبةِ,with regards
أبتسم,I smile
حظًا,Good luck
يمنح,Grants
براحة,Rest easy
تلعبي,You play
اينما,wherever
المذاق,taste
تحوم,hovering
سيمور,Seymour
هاجمت,attacked
وهرب,And he ran away
كاتلين,Caitlin
سألتقي,I will meet
ألقت,She threw
لتصحيح,To correct
شيطاني,demonic
صدى,echo
تتخطى,Skip
أليـس,Alice
فلاندرز,Flanders
تعبئة,Filling
يعاقب,punish
الباقية,The rest
بالفطرة,By instinct
لرعاية,To care
فتاةٌ,girl
للنقاش,For discussion
الاغتصاب,rape
سألك,I asked you
لسـت,Not
منطق,logic
أعادة,re
الورد,roses
دمت,May you live long
بيس,Peace
الأصعب,The hardest
تزن,Weigh
يفاجئني,Surprises me
الاختلاف,difference
سأدع,I will let
جهازي,My device
لصديقك,For your friend
بتحليل,By analysis
لااعلم,I don't know
تسترخي,relax
المغني,The singer
رفضوا,They refused
لفيلم,For the movie
صديقتنا,Our friend
تشرشل,Churchill
سكينة,Sakina
التضحيات,sacrifices
بأداء,By performance
لقيط,foundling
تَجيءُ,You come
ذكرياتي,My memories
جلبنا,We brought
نصفي,Half of me
كده,Like this
أمواله,His money
نانا,Nana
الرهبان,monks
القرصان,The pirate
تتبول,urinate
السندات,Bonds
أمستردام,Amsterdam
المقالات,Articles
بالنظام,By order
طبيبك,Your doctor
يقتلوا,They kill
ويك,Week
نادرا,rarely
بمشاكل,With problems
لمدى,For how long
للوقوف,to stand
موافقتك,Your consent
الجار,The neighbor
البركان,volcano
يعترض,Object
وينشستر,Winchester
مرافقتي,My companion
الانقاذ,Rescue
أستحم,bathe
سأجيب,I will answer
بارز,prominent
عـلى,On
المليئة,full
الحسنة,good
نزوة,fancy
أفتقده,I miss him
أتيتَ,You came
نسيته,I forgot it
اتطلع,I look forward
قلقت,I was worried
السامة,toxic
الصويا,soybeans
أسئلك,I ask you
ايجاده,Find it
روهيت,Rohit
لسن,Tongue
بطوله,championship
لأخي,To my brother
يمينك,Your right hand
باردا,cold
تيرى,Terry
يصمد,Holds up
فتاتين,two girls
تجول,wandering
مرأى,sight
لساعتين,For two hours
هاقد,I have
قابليني,Meet me
استعملت,I used
المسيحي,Christian
كلفني,It cost me
سيلفستر,Sylvester
معلوماتك,Your information
سيفعلها,He will do it
زيد,Zaid
عزل,isolation
عليّك,upon you
يصطاد,He hunts
التخدير,Anesthesia
فقدناه,We lost him
لزيارتك,For your visit
بيرو,Peru
كايب,Cape
أتجول,I wander
مارتينيز,Martinez
لإستعادة,To restore
صمم,Designed
جافا,Java
تقومى,You do it
بريجز,Briggs
نستخدمها,We use it
حصتك,Your share
اللهجة,dialect
العقاري,Real estate
مُباشرة,directly
رييس,President
حذائه,His shoes
رايس,Rice
تحدثتِ,You spoke
مشكل,problem
صنيعاً,As a favor
مهرب,trafficker
النسور,Eagles
مهاراتك,Your skills
لقراءة,To read
سأعتبر,I will consider
بنزين,gasoline
بعام,In a year
الذّي,that
حاسمة,Decisive
سيمر,It will pass
وكأنّ,As if
بيرسون,Pearson
وعاد,And he came back
فاولر,Fowler
إبننا,Our son
الفا,alpha
الأثداء,breasts
نقطه,a point
إستدعاء,call
ولأن,Because
خُذْ,Take
الأثرية,archaeological
خطأه,His mistake
مسدسه,His gun
مكـان,Place
الشرعية,legitimacy
رُؤية,vision
مشتعلة,burning
اعتيادي,regular
الحاوية,container
مخصص,Custom
نجاحاً,success
مُتأكد,sure
بجلب,By bringing
باتت,It became
لتحسين,To improve
بالتصوير,By photography
مخاوفك,Your concerns
تَتحدّثُ,You are talking
الجليدي,icy
الأخوية,Brotherhood
وُلد,child
إنسانية,Humanity
الجوال,Mobile
أبنه,daughter
ماهى,What is it
بإصلاح,By repairing
فلورا,Flora
المهاجرين,immigrants
إستطعنا,We could
متورطاً,involved
وحصل,And it happened
ألمانية,German
تهتز,Shake
طبيعتها,Its nature
التخفي,disguise
سيرغب,He would like
الشيطانية,Satanism
تعرفنا,We got to know each other
بأم,With mother
بذات,Same
امامنا,In front of us
المنشار,saw
الحياةِ,life
تخترق,penetrate
واعية,conscious
قراءتها,Read it
المزدوج,double
بالخير,Good luck
كيفيّة,How to
جينز,jeans
إيم,Im
العنيف,violent
هاميلتون,Hamilton
إقناعه,convince him
أضطررت,I had to
الجماعية,Collective
شككت,I doubted
اصبع,finger
.أو,.or
بالشرب,By drinking
الرقائق,chips
كسور,Fractions
تعلن,announces
هيوك,Hyuk
المضادات,Antibiotics
أغلقه,Close it
فلنقل,Let's say
ثابتاً,fixed
الحقيقيون,The real ones
مدفونة,buried
المضحكة,Funny
جايس,Jayce
تشانج,Chang
اجلى,Evacuate
نهائية,Final
الأنهار,rivers
إكتفيت,I'm done
الإعتقاد,Belief
محجوزة,Reserved
أخوض,I venture
معقولاً,reasonable
بشراب,With a drink
وثق,Document
مبادئ,principles
يحتاجها,He needs it
أبقيه,Keep it
أنَّهُ,that it
يعيشوا,live
بإسمك,In your name
استجابة,response
القبضة,fist
شكري,Thank you
خطرا,Dangerous
المواطن,citizen
غارقة,drowned
الإبحار,Sailing
كرر,repeat
ستنتقل,You will move
لزوجته,To his wife
اخوك,Your brother
المبادرة,Initiative
قاسيا,harsh
أشيائك,Your things
مسيطر,dominant
غريغوري,Gregory
اتّصل,Call
يعثروا,They stumble
اتهام,accusation
ماستر,Master
يجرون,They run
نعقد,We hold
يُمكنهم,They can
مقطوع,sectioned
لعطلة,For vacation
تستريح,Resting
لعق,to lick
سأنال,I will get it
الخطير,Dangerous
غلى,boil
منعش,refreshing
أسلوبك,Your style
إلهام,inspiration
خالى,my maternal uncle
سافلة,lowlife
أفوت,I miss
جعلوا,They made
نوريس,Norris
علامَ,Why?
أموالنا,Our money
اسقط,Drop
لزيادة,To increase
القرى,villages
نسائية,Women's
إنــه,It is
دنكان,Duncan
محكوم,Convicted
أتلك,That's it
السوفيتي,Soviet
فتاك,deadly
يعادل,Equivalent to
الطباخ,The cook
ربيكا,Rebecca
موريسون,Morrison
لتعمل,To work
سيدك,Your master
ألفيس,Elvis
أنال,I get it
التنازلي,Descending
يقتربون,They are approaching
الأنسان,man
جلسنا,We sat
سيضع,will put
لوجهك,For your face
براندن,Brandon
ثمناً,price
للسؤال,For question
الإرتفاع,Height
صافية,Clear
اعتبار,consideration
موقوف,Suspended
سأخذك,I will take you
جلبه,Bring it
منافس,competitor
السراح,Release
نهار,day
يجعلون,They make
الاعلان,Advertisement
البارون,baron
التتبع,Tracking
إتّصل,Call
صافي,Net
التدرب,training
النقابة,The Syndicate
قسوة,hardness
لحالك,By yourself
فخورون,Proud
اتينا,We came
.إلى,.to
دلو,bucket
أخاه,His brother
ايزابيل,Isabel
لنعمل,Let's work
المبدأ,The principle
معدلات,Rates
مؤلف,author
عيوب,flaws
خليلتي,My lover
خدعه,trick
لعينه,Damn him
متأخرون,Latecomers
ذكره,He mentioned it
مده,period
المواضيع,Topics
هواة,Amateurs
أكواب,cups
إنبطح,Lie down
الضعفاء,The weak
الأسرع,The fastest
مصيري,fateful
عاطل,unemployed
حصاني,My horse
لكٍ,for you
سأستطيع,I will be able to
سأتّصل,I will call
تظهري,You appear
تتصور,Imagine
أقام,He stayed
ستلعب,You will play
القبلات,kisses
أحوال,Conditions
تقتلنا,Kill us
كوبرا,Cobra
مدعو,Invited
لشهور,For months
الضيقة,narrow
استراليا,Australia
بالسبب,For the reason
طالباً,Student
التابعة,Subordinate
أحضرك,I bring you
آينشتاين,Einstein
متبادل,mutual
تودّين,You would like
ستّ,six
هيرب,Herb
زقاق,alley
كلُ,all
اخذوا,They took
تتدفق,flowing
راجا,Raja
العفن,mold
كاترين,Catherine
بالفخر,Proudly
شابا,young man
ياإلهى,"Oh, my God"
آخري,Other
اخترق,hacked
أطباق,dishes
خطابك,Your speech
تجربه,an experience
يريدان,They want
المصرفية,Banking
المجرمون,criminals
اللمس,touch
ريكاردو,Ricardo
الملاهي,Amusement parks
النبوءة,prophecy
ألفي,Two thousand
المعاكس,The opposite
لاول,First
يكمل,Complete
بورن,Born
ضيفنا,Our guest
هُراء,prattle
نكتب,We write
اجلها,Postpone it
سيجعله,It will make him
تعيّن,Appointed
بمقدوره,He can
الغالي,The dear
الأقوياء,The powerful
نحبه,We love him
ظپ,ظپ
التصرفات,Actions
ريلين,Reelin
العامّة,Public
أشاهده,I watch it
يهتمّ,cares
يتأكد,Make sure
لنرقص,Let's dance
يالله,Oh my God
مرتبطين,Related
ملابسى,My clothes
الراحه,Rest
تشويه,distortion
يدركون,They realize
تبقت,It remains
تبتسمين,You smile
الاحتياطي,the reserve
يناديني,He calls me
سامويل,Samuel
تاتى,Come
لأنّهم,Because they
سأتأخر,I will be late
وأحيانا,And sometimes
المقربين,close ones
إتّفقنا,We agreed
المؤتمرات,Conferences
عض,to bite
السيجار,cigar
رياضيات,mathematics
جيسن,Jason
شفرات,Blades
نجاة,escape
اتركيه,Leave it
مرةٍ,time
بدءاً,Starting
كلبه,His dog
تثبيت,stabilizing
نعتذر,We apologize
المشهورة,The famous
المنحة,The grant
فصول,Chapters
نتنة,stinking
برات,Brat
وأني,And I
أوتعلمين,Do you know?
ياحبيبتي,My love
العطل,Holidays
المختل,The crazy one
قهوتي,My coffee
بالتعامل,By dealing
بالغين,Adults
قذف,extrusion
تريها,Show her
اجزاء,parts
أتقبل,I accept
نسقط,We fall
فإنّك,Because you
الائتمانية,Credit
يهوذا,Judah
ادين,I owe
تسامحني,Forgive me
ستضطر,You will have to
كانديس,Candice
شيب,Gray hair
للمرح,For fun
سأخرجك,I will take you out
ينقصنا,We lack
أصدرت,Issued
اقترحت,I suggested
سراحهم,Release them
جونا,Jonah
مميتة,deadly
بمـا,Because
فيرغسون,Ferguson
تشغيلها,Turn it on
ينهض,He gets up
عادات,Habits
للمشي,For walking
خروجه,His exit
البوم,Album
اللّعنة,the curse
رايتشيل,Rachel
والبقاء,And stay
للحُصُول,To obtain
متعباً,tired
شرطيّ,policeman
تبكى,crying
خيراً,Good
اختفيت,I disappeared
أوقفها,Stop it
وقررت,And I decided
للرصاص,For lead
تبولت,I urinated
آرتشي,Archie
مطرودة,Expelled
الموكب,The procession
يدوياً,Manually
تلمسي,Touch me
التذكاري,Memorial
برتقال,an orange
تأخذنا,Take us
لاتريدين,You don't want to
لكشف,To reveal
اليدوي,Manual
مركبات,Vehicles
رش,spray
قدمنا,We presented
تجربتي,My experience
طولها,Its length
ولـ,And for
نونا,Nona
خطبه,speech
الاغلب,Most likely
تأخري,I am late
غرفتى,My room
أزرار,buttons
الخاطيء,The sinner
الهادي,The guide
المقدّس,holy
الزنجبيل,Ginger
إنقاذي,My rescue
الكعب,heel
مخزون,stock
صرفت,I spent
تصر,Insist
كئيب,depressed
يفكّر,He thinks
القبيلة,tribe
آسفةٌ,sorry
انجي,save
نفسة,same
يقطن,Lives in
رغيف,loaf
المفيد,Useful
هورن,Horn
سيؤثر,It will affect
يعجب,I like
لصالحنا,For our benefit
كالاهان,Callahan
للاسف,Unfortunately
كاسترو,Castro
الاحلام,Dreams
بالمركز,At the center
والأشياء,and things
محقين,Rightful
لوجودك,For your presence
أخف,lighter
ستجلب,will bring
هندية,Indian
سنتأخر,We will be late
يسري,Yesri
ضميرك,Your conscience
أعقد,I am complicated
تتبعت,I followed
الواجبات,Duties
أتحتاجين,Do you need?
النادرة,rare
نفط,oil
الشقق,apartments
شئُ,Something
البشريّة,humanity
شن,Shen
رواد,Pioneers
اعطيها,Give it to her
عشاق,lovers
جارسيا,Garcia
غارق,drowned
المبارة,The match
تتأذى,get hurt
تجدوا,You will find
التوقعات,Expectations
نستعيد,We recover
كيكي,Kiki
متعادلين,equal
غيرهم,Others
سأسأل,I will ask
لويزا,Louisa
انطلقي,Go
أربعه,four
مشاعرها,Her feelings
اختياري,optional
جامعي,university
كلمته,His word
جراند,Grand
بضاعة,goods
البلياردو,billiards
ترقصين,You dance
بالمهمة,On the mission
منطقتي,My region
ملكا,King
الذِهاب,Going
قتلتِ,You killed
أوووه,Ooooh
ليعرف,To know
يفسّر,Explains
المحامية,The lawyer
لوكالة,For the agency
ممفيس,Memphis
التصفيق,applause
بكلمات,In words
جنائية,Criminal
خرافة,myth
الأيّام,The days
بالحقيقه,In fact
آسفـة,Sorry
سرواله,His pants
أزور,I visit
الكفاح,struggle
للنظام,For the system
هاهم,Here they are
تباَ,Damn
سيشعر,He will feel
مناديل,napkins
المباشرة,Direct
يرتبط,Related
بقطعة,By piece
مخبأة,hidden
الأمومة,motherhood
هويتها,Her identity
بالإنجليزية,In English
الثالوث,The Trinity
العمـل,Work
كعب,heel
تتغيّر,It changes
تهتمّ,care
نزاع,dispute
القنينة,The bottle
مصالح,interests
مشغوله,busy
بمرحلة,At a stage
دييجو,Diego
اوليفر,Oliver
جوزي,nutty
سرب,swarm
دمار,destruction
لمحاربة,To fight
اضافي,additional
اتناول,I eat
سويت,Sweet
أضف,Add
بأنّكَ,That you
لمقابلتي,To meet me
جريجوري,Gregory
وأكون,And I will be
قطر,Qatar
اوروبا,Europe
لقــد,I have
أنَّه,that it
التقنيات,Technologies
مثاليا,ideal
إرتكبت,committed
الغزلان,deer
بينت,Bent
قائدنا,Our leader
ابنتكِ,Your daughter
أستخدمها,I use it
أولادنا,Our children
قشرة,cortex
السيجارة,cigarette
أنتظرى,Wait
أنقذك,Save you
وكأنكِ,As if you
الخبيثة,malicious
لاحظتُ,I noticed
يحتاجك,He needs you
صعبٌ,difficult
الشخصيّة,Personality
